,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,Gamba,100,GA,1581832954,87,-2.65,10.0,79.3,1.72
314,Oudtshoorn,0,ZA,1581832954,35,-33.59,22.2,89.6,13.87
315,Morro Bay,1,US,1581832954,87,35.37,-120.85,53.6,2.93
316,Ambilobe,82,MG,1581832954,74,-13.2,49.05,84.78,2.68
317,Le Port,75,RE,1581832955,78,-20.94,55.29,86.0,12.75
318,Avera,90,US,1581832955,93,33.19,-82.53,46.4,5.68
319,Vestmannaeyjar,100,IS,1581832955,76,63.44,-20.27,39.92,33.58
320,Prince Rupert,90,CA,1581832826,93,54.32,-130.32,37.4,5.82
321,Henties Bay,96,NA,1581832955,92,-22.12,14.28,66.0,1.01
322,Mahibadhoo,0,MV,1581832921,81,3.78,72.97,82.44,11.72
323,Ushtobe,100,KZ,1581832956,97,45.25,77.98,32.79,15.01
324,Tura,0,IN,1581832956,33,25.52,90.22,83.3,4.18
325,Hailey,90,US,1581832956,80,43.52,-114.32,30.2,2.98
326,Port Hedland,0,AU,1581832956,66,-20.32,118.57,91.4,14.99
327,Riacho de Santana,100,BR,1581832957,88,-13.61,-42.94,75.2,4.7
328,Yang Talat,32,TH,1581832957,29,16.4,103.37,96.8,5.82
329,Aykhal,86,RU,1581832957,92,66.0,111.5,10.4,6.71
330,Porto-Novo,20,BJ,1581832856,88,6.5,2.6,80.6,3.36
331,Gigmoto,15,PH,1581832958,78,13.78,124.39,80.24,7.7
332,Kumul,57,CN,1581832958,33,42.8,93.45,26.65,2.55
333,Olavarria,2,AR,1581832958,30,-36.89,-60.32,69.28,2.28
334,Vaitape,100,PF,1581832958,70,-16.52,-151.75,83.37,7.16
335,Port Augusta,0,AU,1581832959,53,-32.5,137.77,88.0,12.75
336,Jaru,93,BR,1581832863,90,-10.44,-62.47,72.59,2.39
337,Elkhart,90,US,1581832959,74,41.58,-85.83,35.6,8.05
338,Chongqing,8,CN,1581832959,46,29.56,106.55,50.0,6.71
339,Amuntai,66,ID,1581832959,73,-2.42,115.25,87.53,2.33
340,Cleveland,90,US,1581832719,59,41.5,-81.7,37.99,11.41
341,Londoko,0,RU,1581832960,60,49.03,131.98,14.13,2.53
342,Beringovskiy,100,RU,1581832960,96,63.05,179.32,-1.77,27.56
343,Cusuna,10,HN,1581832960,84,15.85,-85.23,74.68,5.86
344,Provost,91,CA,1581832961,95,52.35,-110.27,2.75,8.43
345,Castro,100,BR,1581832828,80,-24.79,-50.01,66.09,2.64
346,Kapoeta,0,SS,1581832961,32,4.77,33.59,89.1,22.62
347,Waiouru,30,NZ,1581832961,52,-39.48,175.67,70.25,7.81
348,Uvalde,1,US,1581832962,93,29.37,-99.77,53.01,5.82
349,Chimbote,71,PE,1581832962,82,-9.09,-78.58,70.48,3.47
350,Pokhara,2,NP,1581832962,41,28.23,83.98,74.48,3.53
351,Galda de Jos,18,RO,1581832962,100,46.18,23.62,25.0,2.24
352,Puerto Leguizamo,99,CO,1581832963,96,-0.19,-74.78,73.51,2.46
353,Tuy Hoa,0,VN,1581832963,79,13.08,109.3,79.2,8.16
354,Bend,1,US,1581832963,95,44.06,-121.32,43.0,14.99
355,Muyezerskiy,100,RU,1581832963,93,63.93,31.65,32.83,9.6
356,Anzio,0,IT,1581832964,86,41.49,12.62,44.01,3.36
357,Boa Vista,48,BR,1581832725,65,2.82,-60.67,78.8,8.05
358,Cao Bang,60,VN,1581832964,55,22.67,106.25,57.06,7.07
359,Roald,84,NO,1581832964,75,62.58,6.13,43.0,27.51
360,Saint Anthony,1,US,1581832964,73,45.02,-93.22,24.8,3.36
361,Lata,75,PT,1581832964,93,40.16,-8.33,55.0,4.7
362,Broome,90,US,1581832965,54,42.25,-75.83,28.99,11.41
363,Syamzha,100,RU,1581832965,92,60.02,41.06,26.44,11.5
364,Betioky,0,MG,1581832965,42,-23.72,44.38,90.99,5.06
365,Kharp,99,RU,1581832965,93,66.8,65.81,11.5,2.04
366,Teguldet,99,RU,1581832966,92,57.31,88.17,21.83,3.83
367,Richards Bay,1,ZA,1581832792,83,-28.78,32.04,78.22,14.99
368,Alakurtti,98,RU,1581832966,93,66.97,30.35,25.0,5.99
369,Formosa,90,AR,1581832966,94,-26.18,-58.18,78.8,5.82
